category,text
alisveris,"Altus Hırdavat Yapı Malzemeleri Drone Diye Kargodan Lastik Ayakkabı Çıktı,""Instagram'da dolanırken sponsorlu bir bağlantı gördüm. Drone satışı yapılıyor. Normalde böyle şeylere inanmam ancak takipçi sayısının fazla olması, numaralarının olması, ödemeyi peşin değil karşı ödemeli ödenmesi, fotoğraflara yapılan yorumlar vs... Az da olsa güvenerek ben de sipariş vermek istedim...Devamını oku"""
alisveris,"Albay Bilgisayar Garanti Yalanı İle Yanılttı,Garanti kapsamında yer alan  Casper bilgisayarım garanti belgesi ile birlikte İzmit Casper bilgisayar yetkili servisine albay bilgisayara bıraktım. Önce almak istemedi uzun ikna cabası ve uğraş sonunda zorla garanti dahiline bıraktım bilgisayar açılmıyordu. Sonrasında ertesi gün bilgisayarın yapıldı...Devamını oku"
alisveris,"Okyanus Petshop Ürün İade Sorunu!,Satıcıdan GittiGidiyor üzerinden 385 TL tutarında Frolicat Interactive Kedi Lazer oyuncağı satın aldım. Ürünü açıp bir kez çalıştırdığımda çok gürültü çıkardığını fark ettim ve ürünü iade etmeye karar verdim. Hatam iade sürecinin 14 gün içinde olması gerektiğini bilmemekti. Ürünü teslim aldıktan son...Devamını oku"
alisveris,"Anda İhtiyaç Ve Tüketim Maddeleri Knee Tork Dizlik Esnemiyor!,Anda ihtiyaç ve tüketim maddeleri pazarlama san. Lim. Şti. Den 139 TL kapıda teslim knee tork adlı ürünü satın aldım. Ürün 0815774588452 takip no... İle Aras Kargo tarafından tarafıma teslim edildi. Ürün kargoya firma tarafından 26.05.2020 tarihinde kargoya verilmiş. Ürünün üst dizlik bedeni bacağım...Devamını oku"
alisveris,"BB Kargo Dağıtım'dan Aldığım Ürün Bozuk Çıktı Ve Muhatap Bulamıyorum!,Fotoğrafını göndermiş olduğum ürünün kablosunda temassızlık var ve ne fatura ne numara sadece gönderen kargonun adı var ve onlara da ulaşamıyorum ayrıca kargo daha bugün elime geçti Denizli Marmaris gezmiş ürün. Beni arayan numarayı buldum ona da ulaşılamıyor.Devamını oku"
alisveris,"Teknosa Cep Telefonu Değişimi,Hakem Heyeti değişim kararı olmasına rağmen üç aydır hastalığı bahane edip mağazaların kapalı olmasını mazeret eden fakat internetten satış yapan mağazaların açılmasına rağmen cihazın deişimini yapmayan beni mağdur eden Teknosa'yı. Kınıyorum yusuf bakırDevamını oku"
alisveris,"Teknosa Gelmesini Beklediğim Ürün Denizliye Gelmediği Halde İade Görünüyor,Teknosa'dan faturası ekli olan ürünü belirtilen tarihte aldım ve sanırım ertesi günü hazırlandı. Günü gününe takip ettim 01/06/2020 de Aras Kargo Orhanlı kurumsalda takılı kaldı. İlgili konuda defalarca ve her gün canlı destekle görüştüm telefonla da aradım. En sonunda aldığım ürün denizliye gelemed...Devamını oku"
alisveris,"Pekdemir Çiftliği AVM Avm Ye Alınmadık,20 55te AVM ye alınmadık Alaşehir camialtı şubesi. Mağdur edildik. Yani son kapanış saati 21 00. Fakat mağazayı 55 geçe kapatıyorlar. Gerçekten böyle bir şey olamaz. Bir de tavırları çok kötü çalışanların. Lütfen bu konuya bir çare bulun. Müşteri hizmetlerini aradık fakat telefona kimse çıkmadı bizd...Devamını oku"
alisveris,"Teknosa Kargom Hareket Etmedi,""2251****96 numaralı siparişimdeki Aras Kargo 8218****4300 gönderi numaralı, gönderim 08/06/2020 tarihinde Orhanlı kurumsal şubesinden Teknosa tarafından kargoya verildi, ancak 2 gündür hiç hareket etmedi ayrıca da şubenin ve Aras Kargo genel müdürlüğünün telefonlarına ulaşamıyorum. Bu konunun çözülm...Devamını oku"""
alisveris,"Confident AVM Eksik Ürün Gönderimi,""03.05.2020 tarihinde confident Çerkezköy şubesinden aldığım altis break koşu bandının kullanım kılavuzu, emniyet anahtarı, garanti belgesi ve kurulumda kullanılan gerekli aparatlar ürünle beraber gönderilmedi. Mağazayı hem arayıp hem de bizzat gidip kendim görüşmeme rağmen her seferinde aynı yalanı ...Devamını oku"""
alisveris,"Macro Center Karttan Mükerrer Çekimin İade Eziyeti,Bu kadar kurumsal ve marka değeri olan bir firma kasiyer hatası nedeniyle alışveriş tutarını 2 kez çekti ve 20 Mayıs’dan bugüne kadar iade işlemini tamamlayamadı. İşimizi gücümüzü bırakıp bunun peşinde mi koşturmamız gerekiyor. Daha önce de aynı olay olduğunda kendim fark edip iadesini almıştım. Dem...Devamını oku"
alisveris,"Hilal Ticaret Vestel TV Ek Garanti Kapsamında Olmasına Rağmen!,""07.05.2020 tarihinde TV'yi aldığımız Kayseri İpeksaray Hilal mağazası arayıp arızasını bildirdik ve arıza kayıtı açıldı. TV'yi almaya 11.05.2020 tarihinde gelindi 06.06.2020 tarihine kadar bekledik ne servis, ne mağaza bize dönüş yapmadı. Biz arıyoruz ne oldu diye sonunda TV'niz tamir olmuyor onu 15...Devamını oku"""
alisveris,"A101 Kargo Beklerken Habersiz İade,""23 Mayıs'ta verdiğim 1349**********49 numaralı sipariş böyle bir talebim olmadığı halde kargo beklerken bugün iade edilmiş. 29 Mayısta faturam kesildi. Biraz vakit geçtiği için müşteri hizmetlerini aradım ve bana 15 iş günü içinde kargoya verileceği söylendi bugün"
alisveris,"Teknosa Fahiş Fiyat Artışı,Teknosa Son zamanlarda Elektronik ürenlerinde özellikle Bilgisayar başta olmak üzere çok ciddi fiyat artışına gitmiştir. Dolarda yükselen kurlar mevcutken arttırdığı fiyatlarını kur düşmesi ile hiç indirmemiştir. Tamamen fırsatçılık yazıklar olsun. Elbet bu süreçler geçecektir.Devamını oku"
alisveris,"A101 Aktüel Ürünlerin Yeterli Sayıda Bulunmaması.,Aktüel ürünler sabah 8:30 bile bulunmuyor. Çalışana sorulduğunda tükendiği söyleniyor. Bu da bu ürünlerin yeterli miktarda olmadığını veya çalışan personel tarafından müşteriye verilmediğini gösteriyor. Bu sorun giderilmeli ve müşteriler mağdur edilmemeli.Devamını oku"
alisveris,"Bim Şarj Yiyen Kablo!,""Dün Bim'den aldığım şarj kablosu şarj etmek yerine şarjımı yiyor, yemekle kalmayıp kendi kendine parmak izi okuyup farklı fonksiyonları çalıştırıyor. Ürünün faturasını almadığımdan dolayı iade de edemiyorum. Sorunum çözülmez ise Tüketici Hakları'na başvuracağım.Devamını oku"""
alisveris,"A101 Sipariş Ve Müşteri Hizmetleri,22 Mayıs 2020 tarihinde yapmış olduğum alışveriş (SEG marka çamaşır makinesi) 10 iş günü teslim süresini birhayli geçmiştir. Ayrıca ürünle ilgili Vestel servisini aradığımda bu ürünle ilgili kayıt bulunmadığı tarafıma iletilmiştir. Bilgi almak için 0850*****2101 no...’lu müşteri hizmetleri numarasın...Devamını oku"
alisveris,"Koçtaş Yanlış Ürün Gönderilmesi!,29 Mayıs tarihinde 1010111877 kodu ile verdiğim sipariş (650 TL plastik dolap) yerine 9 Haziran'da bir adet saat geldiğinden MNG Kargo elemanı saati geri almıştır. 08502095050 müşteri hizmetleri para iadesi yapılacağını belirterek siparişi tekrar vermemi istemektedir. Neden yanlış yapan bunu düzeltm...Devamını oku"
alisveris,"Halkmar Maske Ve Sıra Sorunsalı,Kocaeli Darıca Osmangazi Mahallesi aşıroğlu caddesinde ki halkmar için yazıyorum. Maskeleri var ama asla ağızda değil boyutlarının altına çekip çalışıyorlar. Üstüne üstüne üstlük sürekli mağazaya maskesiz müşteri giriyor. Çalışırken sürekli karşılıklı olarak özel konuşmalar yapmaları ekstra sıraya s...Devamını oku"
alisveris,"Koçtaş Ürün Teslimatı Sorunu,19 Mayıs 2020 de bir adet gardırop sipariş etmiştim. 1 hafta öncesine kadar ürün verdikleri Borusan lojistikte takip ediliyordu. Ürün Konya'dan Ankara'ya geldi fakat 1 haftadır Ankara'da bekliyor. Aynı zamanda başka siteden verdiğim ürünler 10 gün önce ulaştı Koçtaş'a verdiğim sipariş halen bekliyor...Devamını oku"
alisveris,"Teknosa Üzerinden Aldığım Çalışmayan Dyson Pure Hot & Cold Cihazı,19 Mayıs tarihinde Teknosa üzerinden aldığım (Dyson'ın stokları tükenmişti) Dyson pure hot & cold cihazını gidip UPS'den 29 mayısta aldım. Ancak cihaz çalışmıyordu. İlk iş günü Sembol Teknosa mağazasına iade etmek için elden verdim. (Çünkü kargo şirketine versem 15 günden önce ellerine geçmezdi.) 3 ...Devamını oku"
alisveris,"Boyner Müşteri Hizmetlerine Ulaşamıyorum,Sipariş durumum hakkında yanıt alamıyorum. Kayıt bulunamadı seklinde kargo bilgisi var. Sürekli tedarik sürecinde yazması normal mi? İletisim kısmında size ulaşacak bir başka yol da yok. Telefonun hiç açılmaması da çok ilginç. Günün her saatinde aradımDevamını oku"
alisveris,"Boyner 1 Haftadır Devam Eden Tedarik Süreci,02.06.2020 tarihinde verdiğim 1006****14 kodlu siparişim 1 haftadır tedarik sürecinde gözüküyor. Ben sipariş verince aldığım ayakkabının 38 numarasında stok tükendi fakat 1 haftadır sürekli yeni stok gelmesine rağmen benim hala siparişim tedarik edilmedi bile. Bu durumun aynısı Eylül 2019'da verdiği...Devamını oku"
alisveris,"Teknosa Sıfır Ürün Arızalı Çıktı,Hafta sonu aldığım Casper marka monitörü kutusundan 2 gün sonra çıkardım ve denediğim zaman ürün arızalı çıktı. Mağazada ürünü denemek istemiştim fakat bana elektriksel sorun var dediler herhangi bir sorun olursa gel ilgileniriz demişlerdi. Ürünü 3 gün sonra götürdüğüm zaman değişim yapmadılar ve be...Devamını oku"
alisveris,"Sanal Market Soğuk Ürünlerin Sıcakta Beklemiş Olarak Gelmesi.,""Bugün vermiş olduğum 57629005 numaralı sanal market siparişimde 78,35 tutarında peynirler ve tereyağları soğuk saklama kullanılmadan teslim edildi. Tereyağları yumuşacık olmuştu ve peynirler oda sıcaklığındaydı. Bunları nasıl bozulmadığına güvenip tüketebilirim ben şimdi? Gidip iade etmem gerekeceks...Devamını oku"""
alisveris,"Eskidji Bazaar Homeser Mobilya Üç Gün İçinde Teslim Edeceğiz Dediler, Üç Aydır Teslim Etmiyorlar,""Eskidji Bazaar Homeser Mobilya'dan bir mobilya takımı ve TV ünitesi aldık bize 3 gün içerisinde teslim edeceklerini söylediler , fakat 3 aydır bekliyoruz. Ürünümüz hala teslim edilmedi. Yetkilileri aradığımızda bize çarşamba perşembe gelecek deyip her hafta bir sonra ki çarşamba perşembe gününe gele...Devamını oku"""
alisveris,"Tekzen Sipariş Ettiğim Ürün Hala Kargoya Verilmedi!,4816**930 numaralı siparişimin teslimat tarihi çoktan geçti. Doğacak bebeğim için almıştık. Bebeğim doğacak dolap hala yok. Sizin yüzünüzden kıyafetlerini yerleştiremiyorum. Mağdur oluyorum. Tekzen'e güvenip yola cıktık ortada kaldık. Yetkililerin standart cevapla işin içinden çıkmasını istemiyorum ...Devamını oku"
alisveris,"Boyner Ürün 10 Gündür Kargoya Verilmedi,31 Mayıs 2020 de almış olduğum 3 ürün hala kargoya verilmedi. Ürün tedarik edildi yazalı 5 gün oluyor. Kargom nerede butonu da çıkıyor ama yurt içi kargoda böyle kargo bulunamadı diyor. Kargolarda gecikme olabilir diye yazıyor sitesinde ama siz hala kargoya bile veremediniz. Neden kargoya verilmediğ...Devamını oku"
alisveris,"Evkur Alışveriş Ürünüm Hakkında Bilgi Alamıyorum,""18 Mayıs'ta sipariş ettiğim ve parasını ödediğim ürünüm hala elime ulaşmadı ve bilgi alamıyorum. Aradım müşteri hizmetlerine bağlanılmıyor. Kargo takip numarası bile verilmedi. Hala siparişiniz hazırlanıyor yazmakta. Sipariş no...: 618271"
alisveris,"Banabi Yemeksepeti Sayarak Teslim Alin,Kolay kızıp şikayet edecek bir insan değilim hata kaldırabilirim fakat ben artık bu iste bir art niyet olduğunu düşünmeye başladım. Banabi yi gerek evimde gerek gittiğim yerlerde sık kullanıyorum. Ne zaman toplu sipariş verecek olsak mutlaka sepetimizde parasını ödediğimiz ürünlerden en az bir kaçı ...Devamını oku"
alisveris,"Evkur Alışveriş Ürünüm 1 Ay Oldu Hala Teslim Edilmedi,Ürünüm 11 mayısta internet üzerinden sipariş ettik. Evkur kuryesi ile gönderileceği söylendi daha sonra Yurtiçi ile gönderilmiş ama bilgilendirme yapılmadı kargoda eve getirdiğini ama evde bulamadığını belirtmiş ve ürünün iadesi yapılmış. Tekrar istettik ve sürekli süze dönüş yapacağız denildi ve ya...Devamını oku"
alisveris,"Boyner Adidas Garanti Saçmalığı,""Boyner'den Adidas duramo Lite 2.0 ayakkabı satın aldım file kısmında açılma oldu garantiye gönderdim red geldi aynı ayakkabıdan 2 adet almıştım kardeşimin ayakkabısında da aynı yerde açılma oldu. **  mağazasından almıştık. Direk değişim verdiler, ancak benimki de Boyner'den red geldi haklı olduğum h...Devamını oku"""
alisveris,"Boyner'in E Faturayı SMS Olarak Göndermemesi!,""Boyner Mall Of İstanbul mağazasında ürün satın aldıktan sonra faturanızı SMS olarak alacağınıza dair fiş veriliyor fakat fatura SMS olarak gelmiyor. Değişim, iade yapılacağı zaman faturaya ihtiyaç duyuyoruz. Müşteri hizmetlerine bağlanmak da imkansız zaten.Devamını oku"""
alisveris,"Vatan Bilgisayar Yetersiz Bilgilendirme Ve Sonrası,05.06.2020 tarihinde Vatan Bilgisayar Altunizade mağazasından Apple Macbook Air almak için gittim. Çok güler yüzlü ve samimi sorumlu arkadaş bana Fibabanka kredisi ile aynı anda bankanın hayat sigortası yapması gerektiğini belirterek bana satışı gerçekleştir. 06.06.2020 tarihinde cihazı almaya gitti...Devamını oku"
alisveris,"Boyner'in Fiyasko Tedarik Süreci!,7 Mayısta verdiğim siparişi 28 Mayısta tedarik edemiyoruz siparişinizi iptal etmeniz gerekiyor dediler. Siteye bir baktım benim 50 liraya aldığım ve tedarik edilemiyor denilen pantolon 85 lira olmuş. Bunun siparişini oluşturalım yine aynı fiyattan dediler istemeyerek de olsa mecbur bırakıldığım için...Devamını oku"
alisveris,"Boyner'de İnternet Alışverişi Sorunu!,Boyner'den bu son alışverişimdi sürekli onlara ulaşmaya çalışmaktan yoruldum gerçekten 1 ay oldu hala para iadesi yapacaklar. Elime ulaşmayan ürünün ücretini ödedim. Ama asla iade yapmıyorlar. İnsanları geçiştirmekten başka yaptığınız bir şey yok. Siz bu işi bırakın bence.Devamını oku"
alisveris,"A101'den Siparişler Ulaşmıyor!,""08 Mayısta ilk defa A101 online mağazasından alışveriş yaptım. Aynı gün Siparişinizi aldık! Diye mail bilgilendirmesi geldi. 26 Mayıs tarihinde E-faturam geldi ama ürünler hala gelmedi. Pandemi sürecindeki yoğunluktan dolayı 5-15 gün sürebileceği söylendi, peki dedim olabilir. Üzerinden 22 gün geçin...Devamını oku"""
alisveris,"Migros Sanal Market Memnuniyetsizliği!,""Ramazan ayı içerisinde sanal marketten sipariş verdiğim bir ürün 2 kutu yerine 1 kutu geldi. Pandemi süreci, yoğunlar vs... Diye getiren kişiyi bekletmedim, sipariş geldiği an kontrol etmedim. Sadece 10 dakika sonra fark ettim 16 liralık bir ürün çok da büyük bir rakam değil ama Migros gibi bir mark...Devamını oku"""
alisveris,"Bim Ve Personel Saygısızlığı!,Alışveriş yapıyoruz çoğu zaman insanlık olsun diye bozuk para vermeye çalışıyoruz. 0.5 kuruş eksik çıktı diye saygısızca sonra getirirsiniz deniyor. 5 kuruşun nesini sonra getireyim. O kadar insanın içinde sanki paranın büyük bir kısmı eksikmiş gibi bir de muamele görüyoruz. Ben öyle yapınca bütün p...Devamını oku"
