lemma	frequency
çık	779
öl	534
üre	448
değiş	447
oluş	410
geliş	368
sür	281
et	276
dur	273
belir	269
in	252
yetiş	250
çalış	246
yürü	244
yerleş	235
sal	230
kapa	228
dol	225
işle	224
dönüş	210
başla	202
birleş	198
yap	197
bil	195
seslen	192
uza	192
yansı	191
karış	188
bulun	187
bas	180
fırla	174
oyna	173
yüksel	172
düzel	171
art	169
azal	168
canlan	167
genişle	157
dön	153
tanı	145
ulaş	144
kazan	142
uzaklaş	140
uğra	139
benze	131
barın	131
büyü	129
sıkış	128
yönel	123
güçlen	123
nitelen	120
uyan	119
uy	118
kısal	115
otur	111
püskür	111
kay	110
oku	108
er	107
yaşa	106
atla	106
patla	104
hatırla	100
sin	98
kavuş	94
gerek	90
türe	88
giy	88
al	87
dayan	87
birik	86
kes	86
çoğal	85
bekle	85
ayrış	84
evlen	83
karşılaş	80
tut	79
kuru	79
yaz	79
kan	78
çarp	78
yaklaş	76
zayıfla	74
eri	73
pekiş	73
arın	73
kap	73
bağdaş	73
yavaşla	71
biçimlen	70
sön	70
çek	70
gecik	69
yücel	68
bin	68
ilerle	65
ver	65
onurlan	64
çürü	62
tanış	61
ye	61
yakış	60
eşleş	60
sız	59
yapış	59
konuşlan	59
şaşır	59
inan	59
paylaş	59
kız	59
hafifle	58
kayna	56
aşın	55
yatış	55
dinle	55
hisset	54
küçül	53
alış	53
getir	53
kuvvetlen	52
don	52
bulaş	52
sus	52
özen	51
gez	51
çöker	50
havalan	50
yumuşa	49
ara	45
sap	44
at	44
rahatla	43
sığ	43
topla	43
gül	42
buluş	42
koş	42
eğ	42
yağ	41
kızar	40
kullan	40
gevşe	40
düşün	40
kur	40
yık	40
dolan	39
din	39
anımsa	39
aksa	38
kopar	38
dinlen	38
tutuş	38
ilgilen	37
dolaş	37
eğlen	37
çarpış	37
kaybet	37
hazırla	37
ısla	36
cesaretlen	36
söyle	36
uyu	36
boğ	36
otla	35
konuş	34
parla	34
unut	34
yanıl	33
çağrış	32
dal	32
kıs	31
koy	31
aç	30
kaynaş	30
çiftleş	30
cay	30
bölüş	30
yayınla	30
dokun	29
imzala	29
gerile	29
savuş	29
karar	29
sev	29
kabar	28
uzlaş	28
izle	28
dik	28
silahsızlan	27
ergi	27
es	26
yıl	26
damla	26
taşı	25
incel	25
uçur	25
sulan	25
ağla	25
tutukla	25
kıl	24
tatlan	24
sevin	24
boz	24
taçlan	24
bilinçlen	24
yüz	24
seç	24
teşkilatlan	23
öde	23
ağaçlan	23
yüreklen	23
hareketlen	23
esne	23
alçal	23
benimse	22
heyecanlan	22
iliş	22
kaydet	21
utan	21
uyuş	21
çal	21
vur	20
geçir	20
sun	20
değ	20
yakala	20
bırak	20
ayaklan	20
sıçra	19
geçin	19
uygula	19
sinirlen	19
acı	19
çök	18
akset	18
bürün	18
koşuş	18
şiddetlen	17
çimlen	17
barış	17
tırman	17
it	17
alevlen	17
kaldır	17
ayır	17
delir	16
titre	16
geçiş	16
yanaş	16
sök	16
sez	16
zehirle	16
şımar	16
kaz	16
yarış	16
ger	16
çatla	16
yayımla	16
yak	15
serinle	15
azmet	15
kalkın	15
tamamla	15
kon(I)	15
eriş	15
em	15
dövüş	15
bul	15
terle	15
as	15
endişelen	15
tat	15
ol	14
tak	14
dök	14
kaçır	14
bez	14
bağla	14
kazı	14
coş	14
kır	14
fışkır	13
bastır	13
sil	13
bulan	13
var	13
sek	13
sersemle	13
çiz	13
onayla	13
düzenle	13
titreş	13
dalgalan	13
vasıflan	13
ağar	13
nemlen	13
gücen	13
bitiş	13
kus	12
göm	12
kuşkulan	12
uğraş	12
görüş	12
onar	12
doğur	12
doğrula	12
çevir	11
çağır	11
kov	11
yükle	11
seyrel	11
affet	11
isle	11
az	11
eski	11
atış	11
ekle	11
kamaş	11
beğen	11
körel	11
de	10
kana	10
çekiş	10
kırbaçla	10
bahset	10
bileş	10
gör	10
benzeş	10
boya	10
kaygılan	10
ekşi	10
döv	10
yeşer	10
kızış	10
çıldır	10
öfkelen	10
gönder	9
azlet	9
kıskan	9
çökel	9
tüt	9
çözün	9
temizle	9
örtüş	9
incele	9
yeşillen	9
çak	9
gölgelen	9
bak	8
ez	8
çakış	8
kıpırda	8
savaş	8
hapset	8
iv	8
dikleş	8
durakla	8
çöz	8
saç	8
neticelen	8
gülümse	8
şenlen	8
yut	8
aşır	7
naklet	7
kutuplaş	7
ucuzla	7
sorgula	7
ağrı	7
edin	7
telaşlan	7
kıy	7
ısın	7
katlet	7
bağışla	7
tara	7
say	7
ezberle	7
seyret	7
hastalan	7
inle	7
döşe	7
genleş	7
parçala	7
köpür	6
çiğne	6
ferahla	6
sat	6
gir	6
küs	6
üşü	6
üleş	6
seğir	6
ısır	6
oyla	6
katış	6
kabullen	6
sol	6
sar	6
diz	6
ufal	6
bağır	6
tutun	6
yuvarla	6
yenile	6
kara	5
bit	5
neşelen	5
harca	5
dağıt	5
buruş	5
yasakla	5
duygulan	5
ör	5
anlat	5
gururlan	5
paslan	5
sor	5
lezzetlen	5
ertele	5
esinlen	5
belirt	5
yağmala	5
düşür	5
ayıl	5
sakın	5
mevzilen	5
sağla	5
tiksin	5
tasarla	5
solu	4
yan	4
bık	4
tıkla	4
haberleş	4
yorumla	4
feshet	4
heveslen	4
kokulan	4
tekrarla	4
keşfet	4
ışı	4
zannet	4
zıpla	4
tanıt	4
sün	4
kapla	4
ürper	4
devret	4
kokla	4
sık	4
irkil	4
düzle	4
kaynaklan	4
ılı	4
faydalan	4
öt	4
del	4
süslen	4
düze	4
yargıla	4
şakla	4
usan	4
oy	4
iste	4
sok	4
öp	4
kökleş	4
defnet	4
keyiflen	4
apar	3
çözüş	3
yamul	3
marjinalleş	3
tıngırda	3
sürü	3
göçer	3
çoksa	3
bereketlen	3
çatış	3
ada	3
aş	3
kesiş	3
pisle	3
gıcırda	3
hopla	3
hortla	3
süsle	3
özümse	3
haczet	3
sarar	3
açın	3
kavra	3
sürün	3
yasa	3
boşalt	3
şişmanla	3
yadırga	3
kımılda	3
sikle	3
kotar	3
dilen	3
sula	3
elle	3
ciltle	3
ata	3
kırış	3
sürt	3
uslan	3
mele	3
şüphelen	3
odaklaş	3
böl	3
güven	3
salgıla	3
tokuş	3
giyin	3
sesle	3
soy	3
belle	3
kapış	3
yaşar	3
zedele	2
güreş	2
dola	2
dağla	2
sahnele	2
tüylen	2
darbet	2
alakalan	2
kaşan	2
yay	2
güneşlen	2
boşa	2
yolla	2
hırslan	2
hararetlen	2
duraksa	2
götür	2
araştır	2
konakla	2
depreş	2
vazgeçir	2
süz	2
ispatla	2
ever	2
donat	2
yarat	2
ışılda	2
semir	2
çınla	2
gocun	2
yassıl	2
ele	2
bestele	2
uzat	2
hançerle	2
ene	2
geber	2
rastla	2
yönet	2
hislen	2
balla	2
afalla	2
imren	2
ümitlen	2
uçukla	2
sığın	2
etkile	2
yığ	2
uyar	2
sigortala	2
üslen	2
denetle	2
iç	2
hazmet	2
tınla	2
kovala	2
sürükle	2
kişne	2
artır	2
iğren	2
soyun	2
taşla	2
doy	2
kümelen	2
kudur	2
sapla	2
somur	2
özümle	1
tomur	1
tap	1
belgele	1
tart	1
aşıla	1
bula	1
kucaklaş	1
bur	1
parselle	1
karşıla	1
betimle	1
yumurtla	1
mühürle	1
bombala	1
aydınlan	1
gürle	1
akıt	1
batır	1
sakla	1
tartış	1
bile	1
kanır	1
yalanla	1
durul	1
öv	1
yar	1
hışırda	1
kurtar	1
pürüzlen	1
bileyle	1
önemse	1
korkut	1
yatır	1
resmet	1
mayınla	1
eyle	1
yıpran	1
nikâhla	1
uyarla	1
duyur	1
şapırda	1
şıngırda	1
büzüş	1
çeliş	1
şahlan	1
çatırda	1
gezin	1
kibirlen	1
yavrula	1
yoğur	1
nihayetlen	1
örgütle	1
bayatla	1
kıvran	1
aşağıla	1
koru	1
kederlen	1
kalkış	1
tıkış	1
çarpıt	1
acık	1
kutsa	1
uçuş	1
vazet	1
katet	1
değin	1
hesapla	1
kanıtla	1
ayarla	1
kamplaş	1
gözük	1
yükseltgen	1
yit	1
sızla	1
bitir	1
kaşın	1
biç	1
kıvır	1
parılda	1
mürekkeple	1
davran	1
eşle	1
hakket	1
reddet	1
sıyır	1
algıla	1
sürç	1
gevre	1
ürü	1
meylet	1
hüzünlen	1
içir	1
ölç	1
avla	1
yağla	1
oynat	1
serp	1
gizle	1
tüken	1
işe	1
atlat	1
boğazla	1
ek	1
vazgeç	1
tıkırda	1
kışla	1
doğ	1
tanıtla	1
tanımla	1
evril	1
horla	1
selamla	1
boşat	1
devin	1
pırtla	1
üz	1
yudumla	1
beze	1
kal	1
özetle	1
ört	1
karıncalan	1
aktar	1
tartakla	1
darıl	1
yuhala	1
yat	1
takırda	1
şenel	1
engelle	1
dışla	1
duyumsa	1
çatallan	1
sokuş	1
puslan	1
tozlan	1
ocu	1
bocala	1
gerçekle	1
çerçevele	1
kıvılcımlan	1
tık	1
zincirle	1
yapraklan	1
vuruş	1
cisimlen	1
üstlen	1
doğrul	1
kurgula	1
kutla	1
özle	1
tep	1
aksır	1
kilitle	1
işit	1
ihtiyarla	1
damgala	1
seviş	1
öpüş	1
resimle	1
zımparala	1
zıngırda	1
tıka	1
boğuş	1
pulla	1
dirilt	1
zorla	1
doku	1
çıtla	1
asfaltla	1
şişle	1
taşın	1
sızdır	1
demirle	1
dene	1
pörtle	1
sansürle	1
neşret	1
eleştir	1
